# stla	stlo	net.stat.loc.chan	stel	stdp
           65.363167            65.363167    YY.KODA..BHZ           517.0        0.0
           65.290237            65.290237    4F.KOLL..BHZ           593.0        0.0
             59.6491              59.6491    IU.KONO.00.BHZ          -124.0      340.0
           57.339169            57.339169    GB.KPL..BHZ            13.0        0.0
           64.993317            64.993317    Z7.KREP..HHZ           625.0        0.0
           74.580498            74.580498    DK.KULLO..HHZ            44.0        0.0
           64.763474            64.763474    Z7.KVER..HHZ           829.0        0.0
           65.847122            65.847122    YY.KVIH..HHZ           351.0        0.0
           64.029182            64.029182    Z7.LAUF..HHZ           563.0        0.0
             53.4016              53.4016    GB.LBWR..BHZ           353.0        0.0
           71.441902            71.441902    YM.LEVI..HHZ           173.0        0.0
           64.852783            64.852783    4F.LIND..HHZ           726.0        0.0
           53.457298            53.457298    GB.LMK..BHZ           133.0        0.0
           65.158409            65.158409    Z7.LOGR..HHZ           730.0        0.0
            65.15699             65.15699    4F.LOKA..BHZ           734.0        0.0
            65.13623             65.13623    Z7.LOKT..HHZ           630.0        0.0
           60.136002            60.136002    GB.LRW..BHZ            98.0        0.0
            51.99733             51.99733    GB.MCH1..BHZ           219.0        0.0
             50.6092              50.6092    BE.MEM..HHZ           250.0        0.0
           65.055893            65.055893    Z7.MFLS..HHZ           606.0        0.0
           65.086761            65.086761    4F.MIDF..BHZ           572.0        0.0
           64.984398            64.984398    4F.MOFO..BHZ           702.0        0.0
           56.455002            56.455002    DK.MUD..BHZ            12.0        0.0
           65.013496            65.013496    Z7.MVET..HHZ          1160.0        0.0
           65.155502            65.155502    4F.MYVO..BHZ           639.0        0.0
           66.095078            66.095078    ZR.N1301..BHZ            66.0        0.0
           66.140572            66.140572    ZR.N1302..HHZ           352.0        0.0
           66.042313            66.042313    ZR.N1303..HHZ           570.0        0.0
           66.876053            66.876053    ZR.N1304..HHZ           187.0        0.0
           66.383034            66.383034    ZR.N1305..BHZ            62.0        0.0
           66.741959            66.741959    ZR.N1306..HHZ           435.0        0.0
           67.103157            67.103157    ZR.N1307..HHZ           179.0        0.0
           67.120209            67.120209    ZR.N1308..HHZ           128.0        0.0
